Time [s],Data
0.313849000000000,'0'
0.313955166666667,'1'
0.314061583333333,'1'
0.314168250000000,'1'
0.314274333333333,'0'
0.314380416666667,'0'
0.314486583333333,'0'
0.314592666666667,'0'
0.314599666666667,'1'
0.314698833333333,'0'
0.314805000000000,'1'
0.314911166666667,'1'
0.315017333333333,'1'
0.315123166666667,'0'
0.315229250000000,'0'
0.315335333333333,'0'
0.315441416666667,'0'
0.315448500000000,'1'
0.315547583333333,'0'
0.315653833333333,'1'
0.315760000000000,'1'
0.315866166666667,'1'
0.315972250000000,'0'
0.316078000000000,'0'
0.316184166666667,'0'
0.316290250000000,'0'
0.316297250000000,'1'
0.316396416666667,'0'
0.316503083333333,'1'
0.316609250000000,'1'
0.316715416666667,'1'
0.316821500000000,'0'
0.316927666666667,'0'
0.317033750000000,'0'
0.317139500000000,'0'
0.317146583333333,'1'
0.317245250000000,'0'
0.317351916666667,'1'
0.317458583333333,'1'
0.317564750000000,'1'
0.317670833333333,'0'
0.317776916666667,'0'
0.317883083333333,'0'
0.317989166666667,'0'
0.317996166666667,'1'
0.318095333333333,'0'
0.318207666666667,'1'
0.318314333333333,'1'
0.318421000000000,'1'
0.318527166666667,'0'
0.318633250000000,'0'
0.318739333333333,'0'
0.318845416666667,'0'
0.318852500000000,'1'
0.318951583333333,'0'
0.319057833333333,'1'
0.319164166666667,'1'
0.319270833333333,'1'
0.319376916666667,'0'
0.319483000000000,'0'
0.319589166666667,'0'
0.319695250000000,'0'
0.319702250000000,'1'
0.319801416666667,'0'
0.319907583333333,'1'
0.320013750000000,'1'
0.320119916666667,'1'
0.320225750000000,'0'
0.320331833333333,'0'
0.320437916666667,'0'
0.320544083333333,'0'
0.320551083333333,'1'
0.320650250000000,'0'
0.320756916666667,'1'
0.320863083333333,'1'
0.320969250000000,'1'
0.321075333333333,'0'
0.321182166666667,'0'
0.321287750000000,'0'
0.321393333333333,'0'
0.321400333333333,'1'
0.321499000000000,'0'
0.321605666666667,'1'
0.321712333333333,'1'
0.321818500000000,'1'
0.321924666666667,'0'
0.322030750000000,'0'
0.322136833333333,'0'
0.322242666666667,'0'
0.322249666666667,'1'
0.322348333333333,'0'
0.322454500000000,'1'
0.322561166666667,'1'
0.322667833333333,'1'
0.322773916666667,'0'
0.322880000000000,'0'
0.322986166666667,'0'
0.323092250000000,'0'
0.323099250000000,'1'
0.323198416666667,'0'
0.323304750000000,'1'
0.323410916666667,'1'
0.323517583333333,'1'
0.323623750000000,'0'
0.323729833333333,'0'
0.323835916666667,'0'
0.323942083333333,'0'
0.323949083333333,'1'
0.324048250000000,'0'
0.324154416666667,'1'
0.324260750000000,'1'
0.324366916666667,'1'
0.324473000000000,'0'
0.324579166666667,'0'
0.324685250000000,'0'
0.324791333333333,'0'
0.324798333333333,'1'
0.324897500000000,'0'
0.325004166666667,'1'
0.325110333333333,'1'
0.325216500000000,'1'
0.325322333333333,'0'
0.325427916666667,'0'
0.325533500000000,'0'
0.325639166666667,'0'
0.325646166666667,'1'
0.325744833333333,'0'
0.325851500000000,'1'
0.325958166666667,'1'
0.326064333333333,'1'
0.326170416666667,'0'
0.326276500000000,'0'
0.326382333333333,'0'
0.326487916666667,'0'
0.326494916666667,'1'
0.326593583333333,'0'
0.326699750000000,'1'
0.326806416666667,'1'
