Time [s],Data
0.357754750000000,'0'
0.357884833333333,'1'
0.358014333333333,'0'
0.358099250000000,'1'
0.358246916666667,'1'
0.358482750000000,'0'
0.358565833333333,'1'
0.358736000000000,'0'
0.358821666666667,'1'
0.358841916666667,'0'
0.358920500000000,'1'
0.359007750000000,'0'
0.359099333333333,'0'
0.359183750000000,'1'
0.359202333333333,'0'
0.359289916666667,'1'
0.359303333333333,'0'
0.359388666666667,'1'
0.359564416666667,'0'
0.359646000000000,'1'
0.359671250000000,'0'
0.359752500000000,'1'
0.359834333333333,'0'
0.359936166666667,'0'
0.360029166666667,'0'
0.360111333333333,'1'
0.360393583333333,'0'
0.360473416666667,'1'
0.360658666666667,'0'
0.360738166666667,'1'
0.360749500000000,'0'
0.360836500000000,'1'
0.361068750000000,'0'
0.361194500000000,'1'
0.361297166666667,'1'
0.361400166666667,'1'
0.361488500000000,'0'
0.361588500000000,'0'
0.361699000000000,'0'
0.361799750000000,'0'
0.362039500000000,'0'
0.362122916666667,'1'
0.362229500000000,'1'
0.362315916666667,'0'
0.362398000000000,'1'
0.362408583333333,'0'
0.362495500000000,'1'
0.362511000000000,'0'
0.362591833333333,'1'
0.362700250000000,'1'
0.362726083333333,'0'
0.362849750000000,'1'
0.362952916666667,'1'
0.363057583333333,'1'
0.363145500000000,'0'
0.363242250000000,'0'
0.363354333333333,'0'
0.363447083333333,'0'
0.363556500000000,'0'
0.363678666666667,'1'
0.363784250000000,'1'
0.363886416666667,'1'
0.363971250000000,'0'
0.364072083333333,'0'
0.364175416666667,'0'
0.364276666666667,'0'
0.364383833333333,'0'
0.364510750000000,'1'
0.364533416666667,'0'
0.364613083333333,'1'
0.364706583333333,'1'
0.364800583333333,'0'
0.364896250000000,'0'
0.365008750000000,'0'
0.365107833333333,'0'
0.365212416666667,'0'
0.365329833333333,'1'
0.365436250000000,'1'
0.365544500000000,'1'
0.365628750000000,'0'
0.365734416666667,'0'
0.365833333333333,'0'
0.365925666666667,'0'
0.366007916666667,'1'
0.366158750000000,'1'
0.366265000000000,'1'
0.366369250000000,'1'
0.366456833333333,'0'
