Time [s],Data
0.373827333333333,'0'
0.373930000000000,'1'
0.374036750000000,'1'
0.374137250000000,'1'
0.374241083333333,'0'
0.374345416666667,'0'
0.374449083333333,'0'
0.374551916666667,'0'
0.374655083333333,'0'
0.374759500000000,'1'
0.374865750000000,'1'
0.374963833333333,'1'
0.375067333333333,'0'
0.375170583333333,'0'
0.375272250000000,'0'
0.375377500000000,'0'
0.375479250000000,'0'
0.375588750000000,'1'
0.375689500000000,'1'
0.375792083333333,'1'
0.375893250000000,'0'
0.376000166666667,'0'
0.376098500000000,'0'
0.376205416666667,'0'
0.376307166666667,'0'
0.376410583333333,'1'
0.376519666666667,'1'
0.376617750000000,'1'
0.376721250000000,'0'
0.376824416666667,'0'
0.376926666666667,'0'
0.377033500000000,'0'
0.377134666666667,'0'
0.377237833333333,'1'
0.377340916666667,'1'
0.377447833333333,'1'
0.377546916666667,'0'
0.377650416666667,'0'
0.377756250000000,'0'
0.377856666666667,'0'
0.377961916666667,'0'
0.378068916666667,'1'
0.378167750000000,'1'
0.378271250000000,'1'
0.378376250000000,'0'
0.378477666666667,'0'
0.378580916666667,'0'
0.378682166666667,'0'
0.378787083333333,'0'
0.378891666666667,'1'
0.378998166666667,'1'
0.379097833333333,'1'
0.379199250000000,'0'
0.379305583333333,'0'
0.379406250000000,'0'
0.379509666666667,'0'
0.379615416666667,'0'
0.379715166666667,'1'
0.379818583333333,'1'
0.379926916666667,'1'
0.380025666666667,'0'
0.380132083333333,'0'
0.380237500000000,'0'
0.380339916666667,'0'
0.380441250000000,'0'
0.380544333333333,'1'
0.380649583333333,'1'
0.380747500000000,'1'
0.380851583333333,'0'
0.380957000000000,'0'
0.381061916666667,'0'
0.381164250000000,'0'
0.381268083333333,'0'
0.381369083333333,'1'
0.381472083333333,'1'
0.381571750000000,'1'
0.381681333333333,'0'
0.381784000000000,'0'
0.381887916666667,'0'
0.381990416666667,'0'
0.382092250000000,'0'
0.382197083333333,'1'
0.382299833333333,'1'
0.382403750000000,'1'
0.382507166666667,'0'
0.382611416666667,'0'
0.382713916666667,'0'
0.382819750000000,'0'
0.382921916666667,'0'
0.383020833333333,'1'
0.383127500000000,'1'
0.383229083333333,'1'
0.383333500000000,'0'
0.383434666666667,'0'
